Date : 2026-01-03 02:25:36
Directory : d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src
Total : 217 files,  20756 codes, 2591 comments, 4815 blanks, all 28162 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Luau     |        217 |     20,756 |      2,591 |      4,815 |     28,162 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\StandModules\HierophantGrand\TwentyMeterBarrier.server.luau  | Luau     |         48 |          2 |         15 |         65 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\StandModules\KaiserQueen\AbilityRegistry.luau                | Luau     |         44 |         16 |          8 |         68 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\StandModules\KaiserQueen\TheWorld.luau                       | Luau     |        339 |         16 |         70 |        425 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\StandModules\KingCarmine\AbilityRegistry.luau                | Luau     |         46 |         16 |          8 |         70 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\StandModules\KingCarmine\Chop.server.luau                    | Luau     |         48 |          2 |         17 |         67 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\StandModules\KingCarmine\KingCarmine.luau                    | Luau     |        218 |         13 |         46 |        277 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\StandModules\KingCarmine\Splatter.server.luau                | Luau     |         47 |          2 |         16 |         65 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\StandModules\KingCarmine\Teleport.server.luau                | Luau     |         46 |          2 |         14 |         62 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\StandModules\KingCarmine\TimeErase.server.luau               | Luau     |         44 |          2 |         13 |         59 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\StandModules\MagiciansRed\AbilityRegistry.luau               | Luau     |         50 |         16 |          8 |         74 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\StandModules\MagiciansRed\CrossfireHurricane.server.luau     | Luau     |         48 |          2 |         16 |         66 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\StandModules\MagiciansRed\FlameShot.server.luau              | Luau     |         48 |          2 |         16 |         66 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\StandModules\MagiciansRed\Hellfire.server.luau               | Luau     |         48 |          2 |         16 |         66 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\StandModules\MagiciansRed\MagiciansRed.luau                  | Luau     |        482 |         38 |        106 |        626 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\StandModules\MagiciansRed\RedBind.server.luau                | Luau     |         48 |          2 |         16 |         66 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\StandModules\Metallica\AbilityRegistry.luau                  | Luau     |         49 |         16 |          8 |         73 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\StandModules\Metallica\Metallica.luau                        | Luau     |        213 |         24 |         49 |        286 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\StandModules\NuclearRain\AbilityRegistry.luau                | Luau     |         50 |         15 |          9 |         74 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\StandModules\NuclearRain\HeavyRainDrop.server.luau           | Luau     |         44 |          2 |         15 |         61 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\StandModules\NuclearRain\NuclearRain.luau                    | Luau     |        236 |         25 |         48 |        309 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\StandModules\NuclearRain\TorrentialDownpour.server.luau      | Luau     |         86 |         14 |         26 |        126 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\StandModules\StarPurple\AbilityRegistry.luau                 | Luau     |         83 |         24 |         19 |        126 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\StandModules\StarPurple\GroundPound.server.luau              | Luau     |         44 |          2 |         14 |         60 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\StandModules\StarPurple\MachOra.server.luau                  | Luau     |         56 |          3 |         18 |         77 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\StandModules\StarPurple\StarFinger.server.luau               | Luau     |         47 |          2 |         15 |         64 |
